Liste,Section,Genre,Nom,Position,Tete de liste
MATINIK DOUBOUT !,Centre,m,Guy-André GRAND,7,0
MATINIK DOUBOUT !,Centre,f,Eveline POTIRON-MARTIAL,8,0
MATINIK DOUBOUT !,Centre,m,Kenny VENTADOUR,9,0
MATINIK DOUBOUT !,Centre,f,Sophie VILLENEUVE ÉPOUSE GORON,10,0
MATINIK DOUBOUT !,Centre,m,Alex LEPEL,11,0
MATINIK DOUBOUT !,Centre,f,Monique JOUVAN,12,0
MATINIK DOUBOUT !,Centre,m,Thierry HIPPIAS,13,0
MATINIK DOUBOUT !,Centre,f,Katia AMAR,14,0
MATINIK DOUBOUT !,Centre,m,Joël VICTORIN,15,0
MATINIK DOUBOUT !,Centre,f,Murielle BRAVO,16,0
MATINIK DOUBOUT !,Centre,m,Rose MAZARIN,17,0
MATINIK DOUBOUT !,Fort-de-France,m,Philippe ALINE,1,0
MATINIK DOUBOUT !,Fort-de-France,f,Lyne LECHALLIER,2,0
MATINIK DOUBOUT !,Fort-de-France,m,Stéphan EUGENIA,3,0
MATINIK DOUBOUT !,Fort-de-France,f,Betty ESTRIPEAUT,4,0
MATINIK DOUBOUT !,Fort-de-France,m,Raymond LEMONY,5,0
MATINIK DOUBOUT !,Fort-de-France,f,Marie-Gabrielle MARGUERITE,6,0
MATINIK DOUBOUT !,Fort-de-France,m,Jérémie OPTALY,7,0
MATINIK DOUBOUT !,Fort-de-France,f,Line PERASTE,8,0
MATINIK DOUBOUT !,Fort-de-France,m,Christian ALPHONSINE,9,0
MATINIK DOUBOUT !,Fort-de-France,f,Ghislaine PIVETAL,10,0
MATINIK DOUBOUT !,Fort-de-France,m,Ange BAZILE,11,0
MATINIK DOUBOUT !,Fort-de-France,f,Doryane OZEE EPOUSE LAMPLA,12,0
MATINIK DOUBOUT !,Fort-de-France,m,Alex ZIZI,13,0
MATINIK DOUBOUT !,Fort-de-France,f,Elisa NAROU,14,0
MATINIK DOUBOUT !,Fort-de-France,m,Alex BERNARD,15,0
MATINIK DOUBOUT !,Nord,f,Astrid RODAP,1,0
MATINIK DOUBOUT !,Nord,m,Marcel Léopold OLIERE,2,0
MATINIK DOUBOUT !,Nord,f,Line-Rose TELUSSON,3,0
MATINIK DOUBOUT !,Nord,m,Fabrice RANGUIN,4,0
MATINIK DOUBOUT !,Nord,f,Chantal DEGREEF-CARASCO,5,0
MATINIK DOUBOUT !,Nord,m,Roger GRANGENOIS,6,0
MATINIK DOUBOUT !,Nord,f,Marie Nadine NOMER,7,0
MATINIK DOUBOUT !,Nord,m,Alexandre Emmanuel MARTIAL,8,0
MATINIK DOUBOUT !,Nord,f,Joëlle GODARD,9,0
MATINIK DOUBOUT !,Nord,m,Ellias LARO,10,0
MATINIK DOUBOUT !,Nord,f,Miguèle MONTOUT,11,0
MATINIK DOUBOUT !,Nord,m,Joël JOLY,12,0
MATINIK DOUBOUT !,Nord,f,Netty JEAN-BAPTISTE,13,0
MATINIK DOUBOUT !,Nord,m,Franceman VERNON,14,0
MATINIK DOUBOUT !,Nord,f,Marcelle GRANGENOIS,15,0
MATINIK DOUBOUT !,Nord,m,Roberto ROSE-ANTOINETTE,16,0
MATINIK DOUBOUT !,Sud,m,Philippe PETIT,1,1
MATINIK DOUBOUT !,Sud,f,Isabelle MOLE,2,0
MATINIK DOUBOUT !,Sud,m,Daniel CYTHERE,3,0
MATINIK DOUBOUT !,Sud,f,Nathalie SAINTE-ROSE,4,0
MATINIK DOUBOUT !,Sud,m,Philippe SIVATTE,5,0
MATINIK DOUBOUT !,Sud,f,Charlem PICOT,6,0
MATINIK DOUBOUT !,Sud,m,Pierre MALSA,7,0
MATINIK DOUBOUT !,Sud,f,Hélène BRAFINE,8,0
MATINIK DOUBOUT !,Sud,m,Jean Michel LETQUIMOUNIN,9,0
MATINIK DOUBOUT !,Sud,f,Judith BERNADINE,10,0
MATINIK DOUBOUT !,Sud,m,Tully THELAMON,11,0
MATINIK DOUBOUT !,Sud,f,Christelle PARTY,12,0
MATINIK DOUBOUT !,Sud,m,Judes MARIE-SAINTE,13,0
MATINIK DOUBOUT !,Sud,f,Soraya YAZZA,14,0
MATINIK DOUBOUT !,Sud,m,Jean BAUDIN,15,0
MATINIK DOUBOUT !,Sud,f,Patricia TANASI EPOUSE PETIT,16,0
DECLIC,Centre,f,Joel Christine JEANVILLE EPSE LINORD,1,0
DECLIC,Centre,m,Jerome JOSEPH,2,0
DECLIC,Centre,f,Vanina Julie MILLON-BERTILLE,3,0
DECLIC,Centre,m,Nikita CAPGRAS,4,0
DECLIC,Centre,f,Josiane Brigitte REJON,5,0
DECLIC,Centre,m,Gregory Daniel MANSUELA,6,0
DECLIC,Centre,f,Sarah Emmanuelle REGIS,7,0
DECLIC,Centre,m,Mathias POTIRON,8,0
DECLIC,Centre,f,Nadine ZOBDA,9,0
